gene,gene_name,log2_foldchange,gene_description,crz1,cna1
25,VCX1,-1.09,Calcium ion transporter,yes,
1232,PMC1,-1.85,Calcium-transporting ATPase,yes,
5632,,-1.34,Cation-independent mannose-6-phosphate receptor ,yes,
7406,MFα,-1.56,Pheromone alpha,yes,
7407,MFα3,-1.31,Fungal mating-type pheromone,yes,
407,,-2.66,Glyoxal oxidase,yes,
2030,,-2.21,Glyoxal oxidase,yes,
3464,LAC2,-1.75,Laccase,yes,
5731,,-1.77,Glyoxal oxidase,yes,
2415,,-1.62,Annexin XIV,yes,
3316,RDI1,-1.86,Rho GDP-dissociation inhibitor 1,yes,
4634,,-1.04,,yes,
7725,ROX1,-3.42,Specific transcriptional repressor,yes,
6658,,-1.82,Rhomboid family membrane protein,yes,
5889,,-1.15,SH3YL1 protein,yes,
5521,,-1.09,Aldose reductase,yes,
5072,,-1.32,Endopeptidase,yes,
6748,UTP7,-1.55,U3 snoRNA-associated protein 7 ,yes,
3463,LSP1,-1.19,Sphingolipid long chain base-responsive protein ,yes,
6499,,-1.32,Ppapdc1 protein,yes,
2602,,-1.03,Flavonol synthase ,yes,
3019,,-1.26,Long-chain acyl-CoA synthase,yes,
4016,,-1.35,,yes,
3599,,1.08,Mandelate racemase/muconate lactonizing enzyme,yes,
4523,,1.37,Glyceraldehyde 3-phosphate dehydrogenase,yes,
588,,-4.72,Ricin-type beta-trefoil lectin domain,yes,
4891,,-4.12,Ricin-type beta-trefoil lectin domain,yes,
2864,,-3.34,,yes,
3223,,-4.16,Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family,yes,
2526,,-2.38,,yes,
4903,,-1.13,,yes,
2685,,-1.93,Fasciclin domain,yes,
5641,,-2.08,,yes,
1081,,-2.43,NADH(P)-binding  domain,yes,
2156,,-3.14,,yes,
5916,,-2.4,,yes,
5158,,-3.18,,yes,
7981,,-1.39,,yes,
1506,,-3.45,,yes,
587,,-2.49,,yes,
3007,,-1.5,,yes,
5660,,-1.49,,yes,
5654,,-2.19,SUR7/PalI family domain,yes,
586,,-1.86,,yes,
3783,,-2.04,ubiE/COQ5 methyltransferase family,yes,
3224,,-2.04,,yes,
691,,-2.91,,yes,
5915,,-1.77,,yes,
7498,,-3.17,DUF567 domain containing protein,yes,
6863,,-1.36,,yes,
3782,,-1.58,,yes,
1942,,-1.36,,yes,
3154,,-2.8,,yes,
5448,,-1.05,,yes,
485,,-1.38,,yes,
3227,,-1.01,Avr1-like family domain,yes,
4459,,-1.34,,yes,
4606,,-1.54,,yes,
7658,,-1.59,,yes,
1121,,-1.63,,yes,
301,,-2.23,,yes,
4094,,-1.06,,yes,
2510,,-2.33,,yes,
4256,,-1.22,Zinc finger with UFM1-specific peptidase domain ,yes,
1525,,-1.56,,yes,
1272,,-2.9,,yes,
4737,,-1.09,,yes,
5089,,-1.15,,yes,
3047,,-1.28,Organic solute transporter Ostalpha domain,yes,
7943,,-1.06,DUF1183 domain,yes,
2661,,-1.95,Glycosyl hydrolase catalytic core,yes,
6149,,-1.48,,yes,
5159,,-1.74,,yes,
4681,,-1.94,,yes,
3161,,-1.14,,yes,
1087,,-1.37,"Zinc finger, C3HC4 type domain",yes,
5412,,-2.95,,yes,
647,,-2.37,,yes,
7549,,-1.53,FYVE zinc finger,yes,
668,,-1.63,,yes,
4874,,-1.45,"Probable endo-1,3(4)-beta-glucanase",yes,
2125,,-1.07,,yes,
3314,,-1.45,YTH domain family 2,yes,
1174,,-1.02,Pheromone-regulated membrane protein 10,yes,
4478,,-1.1,,yes,
6311,,-1.41,,yes,
4634,,-1.04,,yes,
5972,,1.14,,yes,
