gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04708	NA	430.926	-0.279	0.127	0.05633
CNAG_04709	NA	1262.942	-0.146	0.096	0.2073
CNAG_04710	NA	281.53	-0.298	0.133	0.05167
CNAG_04711	NA	8.478	-0.022	0.6	0.9798
CNAG_04712	NA	221.688	-0.671	0.158	9.286e-5
CNAG_04713	NA	183.8	0.132	0.161	0.5255
CNAG_04714	NA	167.483	-0.033	0.159	0.8887
CNAG_04715	NA	2176.697	-0.133	0.101	0.2777
CNAG_04716	NA	563.352	-0.063	0.11	0.669
CNAG_04717	NA	65.785	0.24	0.238	0.4251
CNAG_04718	PCD101	180.243	-0.222	0.159	0.2513
CNAG_04719	NA	135.861	0.212	0.178	0.3328
CNAG_04720	NA	445.119	0.566	0.141	2.531e-4
CNAG_04721	NA	569.687	-0.14	0.126	0.3754
CNAG_04723	NA	235.588	0.47	0.142	0.002934
CNAG_04724	NA	610.332	0.571	0.135	1.054e-4
CNAG_04725	NA	243.391	0.292	0.146	0.08675
CNAG_04726	NA	38683.805	-0.8	0.152	8.656e-7
CNAG_04727	NA	31.619	-0.669	0.324	0.0751
CNAG_04728	NA	746.601	-0.139	0.107	0.2889
CNAG_04729	NA	368.815	-0.578	0.142	2.022e-4
CNAG_04730	GPR4	142.851	-0.086	0.173	0.7132
CNAG_04731	PCD102	180.967	-0.24	0.154	0.1944
CNAG_04732	PCD1	291.569	-0.084	0.142	0.6531
CNAG_04733	NA	519.866	0.366	0.117	0.00516
CNAG_04734	NA	407.345	-0.104	0.13	0.5372
CNAG_04735	MEP1	3488.469	-0.028	0.128	0.8801
CNAG_04736	NA	246.732	0.155	0.162	0.4498
CNAG_04737	NA	1067.05	1.593	0.102	4.0649999999999995e-53
CNAG_04738	SAC6	494.49	0.074	0.125	0.656
CNAG_04739	NA	416.505	-0.373	0.119	0.004945
CNAG_04740	NA	687.783	-0.146	0.11	0.2736
CNAG_04741	NA	1025.881	0.232	0.117	0.08782
CNAG_04742	NA	215.282	-1.086	0.158	7.92e-11
CNAG_04743	NA	596.62	-0.591	0.113	1.101e-6
CNAG_04744	NA	244.991	1.379	0.169	6.948e-15
CNAG_04745	NA	168.802	0.342	0.177	0.09936
