gene	geneName	baseMean	log2FC	stderror	padj
CNAG_03698	NA	247.16	0.044	0.142	0.8541
CNAG_03699	NA	1342.87	0.018	0.092	0.9113
CNAG_03700	NA	168.338	-0.164	0.167	0.4948
CNAG_03701	NA	1039.998	-0.596	0.101	5.656e-8
CNAG_03702	ALF1	104.621	0.126	0.2	0.6849
CNAG_03705	NA	642.119	0.534	0.135	4.849e-4
CNAG_03706	GLC7	2027.109	-0.125	0.091	0.3152
CNAG_03707	NA	87.457	-0.557	0.214	0.03102
CNAG_03708	NA	573.235	-0.492	0.108	4.208e-5
CNAG_03709	NA	260.49	0.417	0.138	0.01002
CNAG_03710	ECM22	444.719	0.06	0.122	0.7602
CNAG_03711	NA	211.404	0.294	0.151	0.1244
CNAG_03712	NA	149.988	0.069	0.165	0.7982
CNAG_03713	NA	93.384	0.876	0.233	0.001004
CNAG_03714	NA	389.081	-0.302	0.135	0.07215
CNAG_03715	NA	370.404	-0.218	0.121	0.1623
CNAG_03716	BLP6	165.882	-1.678	0.169	3.543e-21
CNAG_03717	NA	88.636	-0.007	0.205	0.9835
CNAG_03718	NA	219.143	-0.007	0.164	0.9829
CNAG_03719	NA	138.054	-0.181	0.182	0.4883
CNAG_03720	NA	180.131	-0.219	0.158	0.3101
CNAG_03721	NA	2328.25	0.039	0.085	0.7751
CNAG_03722	NA	4031.038	-0.425	0.14	0.009754
CNAG_03723	NA	273.293	-0.1	0.143	0.6459
CNAG_03724	NA	1007.822	-0.806	0.1	3.483e-14
CNAG_03725	NA	2004.051	0.03	0.108	0.8703
CNAG_03726	NA	860.542	-0.015	0.098	0.9288
CNAG_03727	NA	249.499	0.106	0.144	0.6248
CNAG_03728	NA	127.599	0.289	0.18	0.2225
CNAG_03729	NA	140.813	0.327	0.172	0.1369
CNAG_03730	NA	1420.721	0.33	0.11	0.01096
CNAG_03731	NA	444.701	-0.354	0.119	0.01192
CNAG_03732	NA	211.841	0.056	0.15	0.8183
CNAG_03733	NA	98.524	0.361	0.211	0.1868
CNAG_03734	NA	68.938	0.457	0.241	0.1362
CNAG_03735	CAP4	276.122	-0.336	0.138	0.04711
CNAG_03738	NA	188.567	0.279	0.162	0.1851
CNAG_03739	NA	37527.931	-0.209	0.097	0.08554
CNAG_03740	NA	59.531	0.183	0.245	0.6199
CNAG_03741	FZC31	0.337	1.888	3.015	0.6864
CNAG_03742	NA	541.532	0.163	0.114	0.2894
CNAG_03743	NA	82.205	-0.169	0.22	0.6076
CNAG_03744	NA	11.857	0.489	0.552	0.5454
CNAG_03745	NA	178.778	0.256	0.16	0.2225
CNAG_03746	NA	53.478	0.252	0.261	0.5021
CNAG_03747	NA	44175.358	-0.94	0.083	1.006e-27
CNAG_03748	NA	1151.416	-0.242	0.09	0.02596
